id,host_id,host_response_time,host_response_rate,host_is_superhost,host_listings_count,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,reviews_per_month,crime,year
6431889,18993265,within an hour,100%,f,2.0,"Los Angeles, CA, United States",Venice,Venice,City of Los Angeles,Los Angeles,CA,90291,Los Angeles,"Los Angeles, CA",US,United States,33.98506,-118.46963000000001,Apartment,Entire home/apt,4,1.0,1.0,2.0,,136.0,"$1,500.00",,$500.00,$90.00,2,$10.00,31,365,2 weeks ago,13,35,65,122,235,90.0,9.0,9.0,9.0,10.0,4.31,47879.0,2019.0
36036743,271110653,within an hour,100%,f,1.0,"Los Angeles, CA, United States",Silver Lake,Silver Lake,City of Los Angeles,Los Angeles,CA,90029,Los Angeles,"Los Angeles, CA",US,United States,34.090759999999996,-118.28183999999999,Bungalow,Entire home/apt,3,1.0,1.0,1.0,,150.0,,,"$1,000.00",$150.00,2,$50.00,2,1125,2 weeks ago,7,15,15,15,3,100.0,10.0,10.0,10.0,10.0,1.84,47879.0,2019.0
32171052,7931750,within a few hours,100%,f,1.0,"Los Angeles, CA, United States",Silver Lake,Silver Lake,City of Los Angeles,Los Angeles,CA,90039,Los Angeles,"Los Angeles, CA",US,United States,34.10587,-118.26923000000001,House,Entire home/apt,6,2.0,3.0,4.0,,158.0,,,$500.00,$135.00,6,$50.00,3,28,7 weeks ago,2,6,6,17,3,100.0,10.0,10.0,10.0,10.0,0.47,47879.0,2019.0
14848294,36759525,within a day,88%,f,2.0,"Long Beach, CA, United States",Long Beach,Long Beach,Other Cities,Long Beach,CA,,Los Angeles,"Long Beach, CA",US,United States,33.76555,-118.18051000000001,Condominium,Entire home/apt,4,2.0,2.0,2.0,,117.0,,,"$1,000.00",$250.00,1,$10.00,7,365,8 months ago,20,50,80,355,1,100.0,10.0,10.0,10.0,10.0,0.03,148.0,2019.0
8367326,1432749,,,f,1.0,"Los Angeles, CA, United States",Downtown,Downtown,City of Los Angeles,Los Angeles,CA,90014,Los Angeles,"Los Angeles, CA",US,United States,34.04674,-118.25204,Loft,Entire home/apt,4,1.0,1.0,1.0,,85.0,,,,$40.00,2,$15.00,4,10,16 months ago,0,0,0,0,57,94.0,10.0,9.0,10.0,10.0,1.13,47879.0,2019.0
21151511,14201209,,,f,1.0,"Los Angeles, CA, United States",Pacific Palisades,Pacific Palisades,City of Los Angeles,Los Angeles,CA,90272,Los Angeles,"Los Angeles, CA",US,United States,34.048140000000004,-118.53728000000001,House,Private room,4,1.0,1.0,2.0,,250.0,,,$0.00,$25.00,2,$30.00,1,7,7 months ago,5,35,65,154,37,96.0,9.0,10.0,10.0,10.0,1.41,47879.0,2019.0
11324866,36817697,within a few hours,82%,f,10.0,"Los Angeles, CA, United States",Santa Monica,Santa Monica,Other Cities,Los Angeles,CA,90064,Los Angeles,"Los Angeles, CA",US,United States,34.0279,-118.45371000000002,Townhouse,Shared room,1,1.0,1.0,1.0,,45.0,,,,$29.00,1,$24.00,1,1125,3 months ago,30,60,90,365,12,92.0,9.0,9.0,9.0,9.0,0.26,47879.0,2019.0
28585829,191334391,within an hour,100%,f,21.0,"Los Angeles, CA, United States",South LA,Downtown,City of Los Angeles,Los Angeles,CA,90015,Los Angeles,"Los Angeles, CA",US,United States,34.0332,-118.26598999999999,Apartment,Entire home/apt,4,1.0,1.0,2.0,,225.0,,,$299.00,$109.00,2,$25.00,2,1125,today,22,52,78,245,33,93.0,9.0,10.0,9.0,10.0,2.25,47879.0,2019.0
12521088,26807481,within a day,74%,f,3.0,"Santa Monica, CA, United States",Santa Monica,Santa Monica,Other Cities,Santa Monica,CA,90404,Los Angeles,"Santa Monica, CA",US,United States,34.02548,-118.48577,Apartment,Shared room,2,1.0,1.0,2.0,,50.0,,,$300.00,$40.00,1,$35.00,3,1125,2 weeks ago,20,50,80,355,4,100.0,10.0,10.0,10.0,10.0,0.09,7166.0,2019.0
19143635,29605081,within an hour,99%,t,8.0,"Los Angeles, CA, United States",Mid-Wilshire,Koreatown,City of Los Angeles,Los Angeles,CA,90005,Los Angeles,"Los Angeles, CA",US,United States,34.06338,-118.29771000000001,Apartment,Entire home/apt,6,2.0,2.0,3.0,,99.0,,,$150.00,$85.00,6,$20.00,1,1125,3 days ago,8,28,58,333,160,96.0,10.0,10.0,10.0,10.0,5.42,47879.0,2019.0
512682,2525623,,,f,1.0,"Los Angeles, CA, United States",Silver Lake,Silver Lake,City of Los Angeles,Los Angeles,CA,90026,Los Angeles,"Los Angeles, CA",US,United States,34.0911,-118.27886000000001,Apartment,Entire home/apt,3,1.0,1.0,1.0,,115.0,$850.00,"$2,800.00",$300.00,$90.00,2,$25.00,30,55,2 months ago,0,0,0,0,8,100.0,10.0,10.0,10.0,10.0,0.14,47879.0,2019.0
14219169,4782691,within an hour,100%,f,2.0,"Los Angeles, CA, United States",Mid-Wilshire,Mid-Wilshire,City of Los Angeles,Los Angeles,CA,90036,Los Angeles,"Los Angeles, CA",US,United States,34.065090000000005,-118.35181000000001,Apartment,Entire home/apt,5,2.0,2.0,3.0,,150.0,,,$0.00,$50.00,1,$10.00,10,30,2 weeks ago,2,17,38,310,13,91.0,10.0,8.0,10.0,10.0,0.99,47879.0,2019.0
431476,1343997,within an hour,100%,f,5.0,"Los Angeles, CA, United States",Hollywood,Hollywood,City of Los Angeles,Los Angeles,CA,90028,Los Angeles,"Los Angeles, CA",US,United States,34.10411,-118.32431000000001,Apartment,Entire home/apt,4,1.0,1.0,2.0,,135.0,$789.00,"$2,749.00",$250.00,$139.00,2,$10.00,5,90,2 days ago,17,47,77,347,11,89.0,10.0,9.0,9.0,10.0,0.15,47879.0,2019.0
29996504,79539696,within an hour,100%,t,2.0,"Los Angeles, CA, United States",Westmont,Gramercy Park,City of Los Angeles,Los Angeles,CA,90047,Los Angeles,"Los Angeles, CA",US,United States,33.941990000000004,-118.30656,Guesthouse,Entire home/apt,3,1.0,1.0,2.0,,100.0,,,$200.00,$80.00,3,$35.00,2,30,3 days ago,3,25,52,228,31,98.0,10.0,10.0,10.0,10.0,4.43,47879.0,2019.0
21344967,31533086,,,,,"Los Angeles, CA, United States",East Los Angeles,East Los Angeles,Unincorporated Areas,Los Angeles,CA,90063,Los Angeles,"Los Angeles, CA",US,United States,34.05203,-118.17755,House,Entire home/apt,6,1.0,2.0,3.0,,55.0,,,$300.00,$140.00,1,$0.00,1,14,yesterday,11,41,71,72,107,86.0,9.0,9.0,8.0,8.0,4.12,47879.0,2019.0
38906557,31036098,within a few hours,88%,f,1.0,"Los Angeles, CA, United States",Westwood,Westwood,City of Los Angeles,Los Angeles,CA,90024,Los Angeles,"Los Angeles, CA",US,United States,34.05215,-118.43923999999998,Apartment,Entire home/apt,6,1.0,1.0,3.0,,170.0,,,$0.00,$180.00,1,$0.00,30,1125,2 weeks ago,4,34,64,154,1,60.0,8.0,4.0,10.0,10.0,0.65,47879.0,2019.0
