id,host_id,host_response_time,host_response_rate,host_is_superhost,host_listings_count,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,reviews_per_month,crime,year,# point of interest
22346414,37379842,,,f,1.0,"Los Angeles, CA, United States",Mid-Wilshire,Mid-Wilshire,City of Los Angeles,Los Angeles,CA,90036.0,Los Angeles,"Los Angeles, CA",US,United States,34.06661,-118.35195,Apartment,Entire home/apt,4,1.0,1.0,2.0,,110.0,,,$0.00,$50.00,2,$75.00,3,14,18 months ago,0,0,0,0,4,95.0,10.0,10.0,10.0,10.0,0.17,47879.0,2019.0,
17209740,35893115,,,f,2.0,"Los Angeles, CA, United States",Palms,Palms,City of Los Angeles,Los Angeles,CA,90034.0,Los Angeles,"Los Angeles, CA",US,United States,34.02206,-118.40233,Apartment,Private room,2,1.0,1.0,1.0,,130.0,,,$200.00,$25.00,1,$10.00,5,40,9 months ago,0,0,0,0,13,100.0,10.0,10.0,10.0,10.0,0.39,47879.0,2019.0,20.0
34396967,174256511,within an hour,100%,f,19.0,"Long Beach, CA, United States",Long Beach,Long Beach,Other Cities,Long Beach,CA,90802.0,Los Angeles,"Long Beach, CA",US,United States,33.77192,-118.194,Apartment,Entire home/apt,4,1.0,1.0,2.0,,135.0,,,$200.00,$65.00,2,$10.00,2,1125,2 days ago,24,54,80,355,23,98.0,10.0,10.0,10.0,10.0,3.56,148.0,2019.0,
18638231,11547240,within a few hours,90%,t,1.0,"Los Angeles, CA, United States",Silver Lake,Silver Lake,City of Los Angeles,Los Angeles,CA,90026.0,Los Angeles,"Los Angeles, CA",US,United States,34.08699,-118.27142,Guesthouse,Entire home/apt,2,1.0,1.0,1.0,,125.0,,,"$1,000.00",$60.00,2,$25.00,31,180,5 weeks ago,13,16,46,320,88,99.0,10.0,10.0,10.0,10.0,2.85,47879.0,2019.0,20.0
26066204,3798838,within an hour,100%,f,2.0,"Los Angeles, CA, United States",Boyle Heights,Boyle Heights,City of Los Angeles,Los Angeles,CA,90033.0,Los Angeles,"Los Angeles, CA",US,United States,34.04783,-118.20312,House,Entire home/apt,8,2.0,4.0,5.0,,199.0,,,$250.00,$65.00,2,$25.00,1,30,yesterday,7,20,36,120,94,92.0,10.0,9.0,10.0,9.0,5.25,47879.0,2019.0,
36146703,271873709,within a few hours,100%,f,1.0,"West Hollywood, CA, United States",West Hollywood,Beverly Grove,City of Los Angeles,West Hollywood,CA,90048.0,Los Angeles,"West Hollywood, CA",US,United States,34.07278,-118.38613,Apartment,Private room,1,1.0,1.0,1.0,,50.0,,,,,1,$0.00,30,90,5 months ago,18,48,78,353,2,100.0,10.0,9.0,10.0,10.0,0.86,27938.0,2019.0,
34839859,77151676,within an hour,100%,t,2.0,"Long Beach, CA, United States",Long Beach,Long Beach,Other Cities,Long Beach,CA,90804.0,Los Angeles,"Long Beach, CA",US,United States,33.78173,-118.15091,Bungalow,Entire home/apt,4,1.0,1.0,3.0,,95.0,,,,$50.00,1,$0.00,2,1125,4 weeks ago,0,0,0,44,3,93.0,10.0,9.0,9.0,9.0,0.52,148.0,2019.0,
14902058,25078731,,,f,1.0,"Los Angeles, CA, United States",Downtown,Downtown,City of Los Angeles,Los Angeles,CA,90014.0,Los Angeles,"Los Angeles, CA",US,United States,34.04565,-118.25362,Apartment,Entire home/apt,2,1.0,1.0,1.0,,89.0,,,$160.00,$45.00,1,$25.00,99,1125,20 months ago,30,60,89,89,45,90.0,10.0,9.0,10.0,9.0,1.15,47879.0,2019.0,20.0
13362097,4353260,within an hour,100%,t,1.0,"Los Angeles, CA, United States",Hollywood,Hollywood,City of Los Angeles,Los Angeles,CA,90038.0,Los Angeles,"Los Angeles, CA",US,United States,34.09466,-118.33152,Townhouse,Entire home/apt,4,2.0,2.0,2.0,,180.0,,,$150.00,$80.00,4,$50.00,2,1125,2 weeks ago,0,0,0,0,183,97.0,10.0,9.0,10.0,10.0,4.37,47879.0,2019.0,20.0
23903540,12916589,within an hour,100%,t,1.0,"Los Angeles, CA, United States",Hollywood,Los Feliz,City of Los Angeles,Los Angeles,CA,90027.0,Los Angeles,"Los Angeles, CA",US,United States,34.09754,-118.2812,Bungalow,Entire home/apt,2,1.0,1.0,1.0,,70.0,,,$250.00,$55.00,2,$60.00,31,120,2 weeks ago,0,0,0,0,92,97.0,10.0,10.0,10.0,10.0,4.63,47879.0,2019.0,
16917699,112977128,within an hour,80%,f,2.0,"Los Angeles, CA, United States",Venice,Venice,City of Los Angeles,Los Angeles,CA,90291.0,Los Angeles,"Los Angeles, CA",US,United States,33.994679999999995,-118.44631,Bungalow,Private room,2,1.0,1.0,1.0,,75.0,,,,$15.00,1,$10.00,1,29,4 weeks ago,0,0,0,0,350,96.0,9.0,9.0,10.0,10.0,10.15,47879.0,2019.0,20.0
400984,1529054,within an hour,100%,f,3.0,"Los Angeles, CA, United States",West Hollywood,Fairfax,City of Los Angeles,Los Angeles,CA,90046.0,Los Angeles,"Los Angeles, CA",US,United States,34.08692,-118.35445,Guesthouse,Entire home/apt,1,1.0,1.0,1.0,,100.0,$800.00,"$3,200.00",$0.00,$100.00,1,$0.00,30,60,10 months ago,30,60,90,365,8,100.0,10.0,10.0,10.0,10.0,0.09,47879.0,2019.0,
29613837,175918088,within an hour,100%,f,16.0,"Los Angeles, CA, United States",Mid-Wilshire,Koreatown,City of Los Angeles,Los Angeles,CA,90005.0,Los Angeles,"Los Angeles, CA",US,United States,34.05755,-118.31033,House,Private room,2,2.5,1.0,1.0,,45.0,,,$250.00,$20.00,1,$10.00,1,1125,3 months ago,10,40,70,345,21,91.0,9.0,9.0,10.0,10.0,1.56,47879.0,2019.0,
5806781,7288044,within a day,80%,f,1.0,"Los Angeles, CA, United States",Hollywood,Hollywood,City of Los Angeles,Los Angeles,CA,90028.0,Los Angeles,"Los Angeles, CA",US,United States,34.1031,-118.33167,Apartment,Private room,2,1.0,1.0,1.0,,55.0,,,$100.00,,1,$0.00,1,1125,3 weeks ago,3,3,3,3,26,95.0,10.0,9.0,10.0,10.0,0.46,47879.0,2019.0,
33135569,48168672,within an hour,100%,t,2.0,"Los Angeles, CA, United States",Sylmar,Sylmar,City of Los Angeles,Los Angeles,CA,91342.0,Los Angeles,"Los Angeles, CA",US,United States,34.29571,-118.45523,House,Private room,2,1.5,1.0,1.0,,39.0,,,,$20.00,1,$0.00,30,180,today,17,17,37,63,37,99.0,10.0,10.0,10.0,10.0,4.25,47879.0,2019.0,
300407,1497543,within an hour,100%,t,21.0,"Los Angeles, CA, United States",Mid-Wilshire,Arlington Heights,City of Los Angeles,Los Angeles,CA,90019.0,Los Angeles,"Los Angeles, CA",US,United States,34.04572,-118.31397,House,Shared room,4,8.0,1.0,4.0,,35.0,$220.00,,,,1,$33.00,3,1125,3 months ago,30,60,90,365,45,92.0,9.0,10.0,10.0,8.0,0.47,47879.0,2019.0,
17258065,47288915,within an hour,100%,t,1.0,"Los Angeles, CA, United States",Sherman Oaks,Sherman Oaks,City of Los Angeles,Los Angeles,CA,91423.0,Los Angeles,"Los Angeles, CA",US,United States,34.1586,-118.44097,Guesthouse,Entire home/apt,2,1.0,0.0,1.0,,110.0,,,$300.00,$0.00,1,$0.00,2,1125,3 weeks ago,2,26,56,83,146,100.0,10.0,10.0,10.0,10.0,4.32,47879.0,2019.0,14.0
31800118,238313423,within a day,90%,f,1.0,"Los Angeles, CA, United States",Los Feliz,Los Feliz,City of Los Angeles,Los Angeles,CA,90027.0,Los Angeles,"Los Angeles, CA",US,United States,34.11128,-118.28094,House,Entire home/apt,2,1.0,1.0,1.0,,149.0,,,,$60.00,2,$25.00,2,1125,4 weeks ago,14,44,74,349,12,92.0,10.0,9.0,10.0,10.0,1.23,47879.0,2019.0,
32793118,246268841,within an hour,100%,t,2.0,"Los Angeles, CA, United States",Echo Park,Echo Park,City of Los Angeles,Los Angeles,CA,90026.0,Los Angeles,"Los Angeles, CA",US,United States,34.06581,-118.25835,Apartment,Entire home/apt,6,2.0,3.0,3.0,,149.0,,,$0.00,$190.00,6,$35.00,1,31,a week ago,5,19,39,39,27,96.0,10.0,10.0,10.0,9.0,2.98,47879.0,2019.0,
16488193,108267970,within an hour,100%,f,1.0,"Long Beach, CA, United States",Long Beach,Long Beach,Other Cities,Long Beach,CA,90802.0,Los Angeles,"Long Beach, CA",US,United States,33.77468,-118.1785,Apartment,Private room,1,1.0,1.0,2.0,,31.0,,,$0.00,$5.00,1,$0.00,1,30,today,14,31,31,31,132,95.0,10.0,9.0,9.0,9.0,3.67,148.0,2019.0,20.0
29258270,52473236,,,f,1.0,"Los Angeles, CA, United States",Hollywood,Hollywood,City of Los Angeles,Los Angeles,CA,90046.0,Los Angeles,"Los Angeles, CA",US,United States,34.10301,-118.34915,Apartment,Entire home/apt,3,1.0,0.0,2.0,,84.0,,,$0.00,$15.00,4,$20.00,3,60,8 months ago,0,0,0,0,31,91.0,10.0,9.0,9.0,10.0,2.3,47879.0,2019.0,
29489505,99138224,within an hour,100%,f,1.0,"West Hollywood, CA, United States",West Hollywood,West Hollywood,Other Cities,West Hollywood,CA,90069.0,Los Angeles,"West Hollywood, CA",US,United States,34.09252,-118.37871,Condominium,Entire home/apt,2,1.5,1.0,1.0,,140.0,,,$100.00,$310.00,1,$0.00,3,1125,4 days ago,12,13,13,281,4,100.0,10.0,9.0,10.0,10.0,0.36,27938.0,2019.0,
2249282,3595258,,,,,"Los Angeles, CA, United States",Silver Lake,Silver Lake,City of Los Angeles,Los Angeles,CA,90039.0,Los Angeles,"Los Angeles, CA",US,United States,34.09904,-118.26,Bungalow,Entire home/apt,6,1.0,2.0,2.0,,125.0,$950.00,"$4,000.00",$500.00,$85.00,2,$20.00,30,1125,a week ago,30,60,90,365,13,88.0,8.0,8.0,9.0,10.0,0.29,47879.0,2019.0,
27429316,17126496,within an hour,100%,t,1.0,"Los Angeles, CA, United States",Echo Park,Echo Park,City of Los Angeles,Los Angeles,CA,90026.0,Los Angeles,"Los Angeles, CA",US,United States,34.0934,-118.24757,Apartment,Entire home/apt,2,1.0,0.0,0.0,,90.0,,,$250.00,$60.00,2,$40.00,2,29,today,2,2,2,2,42,98.0,10.0,10.0,10.0,10.0,2.63,47879.0,2019.0,
20590273,38621026,,,t,1.0,"Los Angeles, CA, United States",South LA,West Adams,City of Los Angeles,Los Angeles,CA,90016.0,Los Angeles,"Los Angeles, CA",US,United States,34.03148,-118.33762,Apartment,Private room,2,1.0,1.0,1.0,,36.0,,,$150.00,$0.00,1,$15.00,1,5,11 months ago,0,0,0,0,72,99.0,10.0,10.0,10.0,9.0,2.68,47879.0,2019.0,
1036792,5704561,within an hour,100%,t,2.0,"Los Angeles, CA, United States",Mid-Wilshire,Mid-Wilshire,City of Los Angeles,Los Angeles,CA,90019.0,Los Angeles,"Los Angeles, CA",US,United States,34.05588,-118.32422,Guesthouse,Entire home/apt,4,1.0,0.0,2.0,,98.0,$875.00,"$2,800.00",$150.00,$60.00,2,$20.00,2,1125,today,10,27,48,318,197,99.0,10.0,10.0,10.0,10.0,2.8,47879.0,2019.0,
12093734,64831217,within an hour,100%,f,1.0,"Los Angeles, CA, United States",Mid-Wilshire,Hancock Park,City of Los Angeles,Los Angeles,CA,90036.0,Los Angeles,"Los Angeles, CA",US,United States,34.08105,-118.34206,Apartment,Private room,2,1.0,1.0,0.0,,69.0,,,$0.00,$35.00,2,$25.00,30,60,today,0,0,0,0,396,93.0,10.0,9.0,10.0,10.0,8.84,47879.0,2019.0,20.0
24774623,187307484,within an hour,100%,f,4.0,"Los Angeles, CA, United States",Encino,Encino,City of Los Angeles,Los Angeles,CA,91316.0,Los Angeles,"Los Angeles, CA",US,United States,34.16936,-118.51904,Apartment,Entire home/apt,8,2.5,2.0,3.0,,96.0,,,$200.00,$90.00,6,$20.00,30,72,7 weeks ago,30,60,90,365,30,90.0,10.0,9.0,10.0,9.0,1.64,47879.0,2019.0,
26593568,3672748,within an hour,100%,t,2.0,"Los Angeles, CA, United States",Venice,Venice,City of Los Angeles,Los Angeles,CA,90291.0,Los Angeles,"Los Angeles, CA",US,United States,34.00291,-118.46762,Guest suite,Entire home/apt,3,1.0,0.0,1.0,,145.0,,,"$5,000.00",$115.00,1,$15.00,1,10,4 days ago,14,41,45,45,82,94.0,9.0,10.0,9.0,9.0,5.18,47879.0,2019.0,
26078075,60414489,within an hour,100%,f,6.0,"Los Angeles, CA, United States",Hollywood Hills,Hollywood Hills,City of Los Angeles,Los Angeles,CA,90068.0,Los Angeles,"Los Angeles, CA",US,United States,34.10646,-118.32354,Apartment,Entire home/apt,3,1.0,1.0,1.0,,96.0,,,$0.00,$70.00,3,$25.00,30,1125,4 months ago,6,36,66,341,16,98.0,10.0,10.0,10.0,10.0,1.04,47879.0,2019.0,
31854634,238734727,within an hour,100%,f,8.0,"Los Angeles, CA, United States",Venice,Venice,City of Los Angeles,Los Angeles,CA,90291.0,Los Angeles,"Los Angeles, CA",US,United States,33.98363,-118.46702,Apartment,Entire home/apt,3,1.0,1.0,2.0,,116.0,,,$500.00,$150.00,1,$0.00,31,1125,2 weeks ago,19,19,19,176,40,86.0,9.0,9.0,10.0,10.0,4.21,47879.0,2019.0,
6119903,26185672,within an hour,100%,t,1.0,"Los Angeles, CA, United States",South Robertson,Pico-Robertson,City of Los Angeles,Los Angeles,CA,90035.0,Los Angeles,"Los Angeles, CA",US,United States,34.05443,-118.3767,Apartment,Private room,2,1.0,1.0,1.0,,50.0,,,$150.00,$30.00,1,$0.00,1,22,today,4,4,8,8,42,98.0,10.0,10.0,10.0,10.0,6.74,47879.0,2019.0,
14640609,42238836,within an hour,100%,f,24.0,"Los Angeles, CA, United States",South LA,Downtown,City of Los Angeles,Los Angeles,CA,90015.0,Los Angeles,"Los Angeles, CA",US,United States,34.03193,-118.26503999999998,Apartment,Entire home/apt,4,1.0,0.0,2.0,,79.0,,,$0.00,$150.00,1,$0.00,31,365,today,0,0,0,0,101,77.0,9.0,9.0,9.0,7.0,2.54,47879.0,2019.0,20.0
15323538,76235304,within an hour,95%,f,10.0,"Inglewood, CA, United States",Inglewood,Inglewood,Other Cities,Inglewood,CA,90303.0,Los Angeles,"Inglewood, CA",US,United States,33.94076,-118.34293,House,Private room,3,1.0,1.0,1.0,,49.0,,,,$15.00,2,$20.00,1,1125,5 weeks ago,22,52,82,354,157,90.0,9.0,9.0,9.0,8.0,4.07,7980.0,2019.0,12.0
38211488,205102999,within an hour,100%,t,23.0,"Los Angeles, CA, United States",Wilmington,Wilmington,City of Los Angeles,Los Angeles,CA,90744.0,Los Angeles,"Los Angeles, CA",US,United States,33.77384,-118.26252,Guest suite,Private room,6,5.0,3.0,3.0,,120.0,,,$100.00,$40.00,1,$0.00,1,18,4 weeks ago,25,55,85,359,2,100.0,10.0,10.0,10.0,10.0,2.0,47879.0,2019.0,
31519707,236192720,within an hour,100%,t,2.0,"Los Angeles, CA, United States",Woodland Hills/Warner Center,Woodland Hills,City of Los Angeles,Los Angeles,CA,91364.0,Los Angeles,"Los Angeles, CA",US,United States,34.1581,-118.62598,Guest suite,Entire home/apt,1,1.0,0.0,1.0,,100.0,,,$0.00,$60.00,1,$0.00,2,1125,a week ago,21,21,21,21,11,96.0,10.0,10.0,10.0,10.0,1.19,47879.0,2019.0,
24523465,107275,within an hour,94%,f,11.0,"Los Angeles, CA, United States",Hollywood,Hollywood,City of Los Angeles,Los Angeles,CA,90028.0,Los Angeles,"Los Angeles, CA",US,United States,34.10136,-118.33255,Condominium,Entire home/apt,2,1.0,0.0,1.0,,119.0,,,$100.00,$50.00,1,$0.00,1,1125,today,5,23,53,328,102,88.0,10.0,9.0,10.0,10.0,5.15,47879.0,2019.0,
36134920,74781272,within an hour,100%,t,1.0,"Los Angeles, CA, United States",Cahuenga Pass,Hollywood Hills,City of Los Angeles,Los Angeles,CA,90068.0,Los Angeles,"Los Angeles, CA",US,United States,34.122840000000004,-118.34945,Guest suite,Entire home/apt,3,1.0,1.0,1.0,,85.0,,,,$30.00,1,$0.00,2,1125,2 weeks ago,2,5,31,49,31,99.0,10.0,10.0,10.0,10.0,6.33,47879.0,2019.0,
21712346,44616971,within a few hours,90%,f,16.0,"Santa Monica, CA, United States",Santa Monica,Santa Monica,Other Cities,Santa Monica,CA,90404.0,Los Angeles,"Santa Monica, CA",US,United States,34.01571,-118.48217,Bungalow,Entire home/apt,3,1.0,1.0,1.0,,89.0,,,,,1,$0.00,31,1125,yesterday,11,41,71,265,7,97.0,10.0,10.0,10.0,10.0,0.38,7166.0,2019.0,
